"intact"	"nintact"	"<NA>"	"Total"
"1"	0	0.0126582278481013	0	0.00429056076631411
"2"	0	0.0173682661171622	0	0.00588704849331471
"3"	0	0.00500441566087724	0	0.00169626820993814
"4"	0.000765696784073507	0.596408595819841	0.0315789473684211	0.202953502294951
"5"	0	0.0382690609361201	0	0.0129714627818799
"6"	0	0.00412128348542832	0	0.00139692676112552
"7"	0	0.00441566087724463	0	0.00149670724406306
"8"	0	0.12363850456285	0	0.0419078028337657
"9"	0.000153139356814701	0.051516043567854	0	0.0175613649970066
"<NA>"	0.999081163859112	0.146599941124522	0.968421052631579	0.709838355617641
"Total"	1	1	1	1
